ID,Delivery_person_ID,Delivery_person_Age,Delivery_person_Ratings,Restaurant_latitude,Restaurant_longitude,Delivery_location_latitude,Delivery_location_longitude,Time_Order_picked,Weatherconditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken(min),Delivery_Distance,Delivery_Speed,Delivery_Distance_km
0x4f8c,SURRES16DEL03,29,4.8,21.160437,72.774209,21.190437,72.804209,17:45,2,3,2,2,4,1.0,1,1,28.0,0.042426406871191945,Normal,4.561113588992224
0x788e,SURRES20DEL01,27,5.0,21.15276,72.778059,21.26276,72.888059,17:35,1,3,2,3,2,0.0,1,1,26.0,0.15556349186103965,Normal,16.72238039080485
0xdfbc,AGRRES010DEL03,30,4.7,27.163303,78.057044,27.223303,78.117044,22:20,4,2,1,3,3,0.0,1,3,15.0,0.08485281374238891,Fast,8.929003109241874
0x52d7,VADRES09DEL03,26,4.8,0.0,0.0,0.06,0.06,21:25,0,1,1,3,3,1.0,1,1,29.0,0.08485281374238571,Normal,9.435201537430713
0x7e1c,MYSRES11DEL02,27,4.8,12.323225,76.630028,12.403225,76.710028,19:05,4,3,0,0,3,0.0,1,3,19.0,0.11313708498984645,Fast,12.435256015114375
0x974a,INDORES20DEL01,26,4.7,22.732225,75.874765,22.842225,75.984765,20:40,0,1,0,2,3,1.0,2,1,45.0,0.15556349186103965,Slow,16.63651695459671
0xa35b,JAPRES19DEL03,31,4.5,26.913726,75.75282,27.003726,75.842821,21:25,6,1,2,0,4,1.0,1,1,43.0,0.12727992772232444,Slow,13.405971717381743
0x6317,SURRES11DEL03,20,4.9,21.157735,72.768778,21.187735,72.798778,23:30,4,2,1,2,4,0.0,1,3,21.0,0.04242640687119446,Normal,4.561152341209805
0x3cf6,CHENRES18DEL02,26,5.0,12.981615,80.231598,13.031615,80.281598,21:15,3,1,2,3,4,1.0,1,1,23.0,0.07071067811865325,Normal,7.762461854550194
0x7f33,VADRES02DEL02,38,3.9,0.0,0.0,0.08,0.08,19:20,6,1,1,0,3,1.0,1,1,41.0,0.1131370849898476,Slow,12.58026782240096
0xb49e,VADRES12DEL01,39,4.8,0.0,0.0,0.04,0.04,13:40,4,0,1,2,3,1.0,1,1,15.0,0.0565685424949238,Fast,6.290134677634678
0xc6a6,BHPRES08DEL03,28,4.6,23.232537,77.429845,23.292537,77.489845,23:45,2,2,2,3,4,0.0,3,4,11.0,0.0848528137423864,Fast,9.059804963936871
0x7e00,SURRES02DEL03,34,4.8,21.186608,72.794136,21.246608,72.854136,20:55,3,1,2,3,4,1.0,1,3,31.0,0.0848528137423864,Normal,9.121044921629522
0xaf93,CHENRES01DEL03,22,5.0,13.005801,80.250744,13.065801,80.310744,23:40,4,2,2,0,4,1.0,1,1,20.0,0.08485281374238766,Fast,9.314419797615273
0xafd8,MUMRES08DEL01,25,4.8,19.065838,72.832658,19.075838,72.842658,10:10,0,2,2,2,3,1.0,1,1,19.0,0.014142135623735673,Fast,1.5299884479314707
0x3261,VADRES07DEL01,35,3.9,0.0,0.0,0.11,0.11,17:35,6,3,1,2,3,2.0,1,1,34.0,0.15556349186104046,Normal,17.29786575291325
0x7722,MYSRES02DEL01,31,4.8,12.304569,76.643622,12.344569,76.683622,16:30,4,3,1,3,3,1.0,1,1,21.0,0.05656854249492762,Normal,6.218076509100711
0x947d,MUMRES20DEL02,26,4.7,19.103249,72.846749,19.123249,72.866749,10:30,1,2,1,3,4,0.0,1,1,18.0,0.028284271247458786,Fast,3.05960707159485
0x3bef,BANGRES15DEL03,33,4.6,12.975377,77.696664,13.005377,77.726664,18:55,4,3,0,3,3,0.0,1,1,28.0,0.0424264068711932,Normal,4.6576255671472415
0x1219,SURRES19DEL03,38,5.0,21.149669,72.772629,21.209669,72.832629,20:10,2,1,2,3,4,1.0,1,1,32.0,0.08485281374238891,Normal,9.12210553959038
0xb965,BANGRES15DEL03,23,4.7,12.975377,77.696664,13.035377,77.756664,17:50,1,3,1,0,3,1.0,1,3,12.0,0.08485281374238766,Fast,9.314976789360625
0x5bc6,COIMBRES16DEL01,23,4.7,11.010375,76.95295,11.020375,76.96295,10:40,2,2,1,0,4,1.0,1,3,12.0,0.014142135623734417,Fast,1.558114851289754
0x5ffb,RANCHIRES13DEL01,36,4.9,23.374989,85.335486,23.414989,85.375486,16:25,6,3,0,0,3,2.0,1,3,34.0,0.05656854249491757,Normal,6.037116126732456
0x5609,RANCHIRES07DEL02,36,4.9,23.359407,85.325055,23.439407,85.405055,23:10,1,2,2,2,2,1.0,1,1,29.0,0.11313708498984519,Normal,12.074047498027575
0x8e43,RANCHIRES19DEL03,25,4.8,23.333017,85.3172,23.423017,85.4072,19:15,2,3,1,0,4,0.0,1,1,24.0,0.12727922061358088,Normal,13.584306064167167
0x9cbc,RANCHIRES20DEL01,24,5.0,23.39925,85.390464,23.50925,85.500464,17:20,0,3,0,3,3,1.0,1,1,44.0,0.15556349186104218,Slow,16.59866734050554
0xb587,HYDRES01DEL01,34,4.4,17.410371,78.437225,17.520371,78.547225,20:05,6,1,1,3,4,0.0,1,1,44.0,0.15556349186103965,Slow,16.903843893839564
0x5167,JAPRES19DEL03,22,4.7,26.913726,75.75282,26.973726,75.812821,21:30,3,1,2,2,4,0.0,1,1,20.0,0.08485352085211206,Fast,8.937863682516157
0xac47,RANCHIRES18DEL03,37,4.8,23.351489,85.324253,23.381489,85.354253,22:20,4,2,1,2,3,1.0,3,1,12.0,0.042426406871191945,Fast,4.528282400326011
0xd161,LUDHRES04DEL03,21,4.9,30.914057,75.83982,30.944057,75.86982,19:10,4,3,1,3,4,1.0,1,1,19.0,0.04242640687119446,Fast,4.395007361329002
0x8d04,MYSRES16DEL01,20,4.9,12.316967,76.603067,12.426967,76.713067,21:55,1,1,1,3,4,1.0,1,1,33.0,0.15556349186103965,Normal,17.09819699771769
0x13ac,VADRES01DEL02,0,4.630110732538331,22.307898,73.167788,22.327898,73.187788,9:45,6,2,0,2,3,1.0,1,1,24.0,0.028284271247458786,Normal,3.0295617213530037
0xa57f,VADRES13DEL03,37,4.9,22.310237,73.158921,22.340237,73.188921,21:40,4,1,0,1,3,0.0,1,3,23.0,0.0424264068711819,Normal,4.544232356931077
0xb9e5,JAPRES17DEL02,28,4.9,26.892312,75.806896,26.912312,75.826896,8:30,4,2,1,2,4,1.0,1,1,17.0,0.028284271247468833,Fast,2.979750394372844
0x8b41,PUNERES16DEL02,38,4.7,18.536718,73.830327,18.556718,73.850327,10:40,4,2,0,2,3,1.0,1,1,20.0,0.028284271247458786,Fast,3.0644857806760535
0xbc1a,VADRES14DEL02,26,4.8,22.311603,73.165012,22.331603,73.185012,8:35,3,2,2,3,4,0.0,1,1,18.0,0.028284271247458786,Fast,3.0295246341921644
0x9156,CHENRES17DEL03,25,4.8,13.045479,80.23311,13.105479,80.29311,22:50,0,2,0,0,3,1.0,1,1,21.0,0.08485281374238766,Normal,9.313691518325752
0x8acf,VADRES16DEL02,20,4.7,0.0,0.0,0.05,0.05,18:40,1,3,2,1,3,0.0,1,1,16.0,0.07071067811865477,Fast,7.8626681674103684
0xca1,HYDRES19DEL01,20,4.7,17.458998,78.500366,17.498998,78.540366,15:45,4,3,2,2,4,1.0,1,1,10.0,0.05656854249492762,Fast,6.14663364596065
0xa94b,HYDRES02DEL03,25,4.7,17.41233,78.449654,17.47233,78.509654,19:05,4,3,0,3,3,1.0,1,1,15.0,0.0848528137423864,Fast,9.22083460710881
0x45fa,HYDRES06DEL02,28,4.9,17.455894,78.375467,17.475894,78.395467,10:30,4,2,0,1,3,0.0,1,1,14.0,0.028284271247458786,Fast,3.0734222587643045
0x4147,RANCHIRES02DEL03,30,4.9,0.0,0.0,0.06,0.06,21:15,1,1,2,0,4,1.0,1,1,30.0,0.08485281374238571,Normal,9.435201537430713
0xd0d0,KNPRES13DEL01,0,4.630110732538331,26.481547,80.299775,26.551547,80.369775,19:35,2,1,1,1,4,1.0,1,1,38.0,0.09899494936612209,Normal,10.444817974537816
0x81c7,JAPRES16DEL03,24,4.9,26.849596,75.800512,26.989596,75.940512,22:55,1,2,0,3,3,0.0,1,3,23.0,0.1979898987322341,Normal,20.856833724898493
0xc96,COIMBRES13DEL03,35,5.0,11.003669,76.976494,11.063669,77.036494,20:10,0,1,0,2,3,1.0,1,1,33.0,0.08485281374238766,Normal,9.348403522662325
0x1e37,MUMRES13DEL02,21,4.5,19.178321,72.834715,19.258321,72.914715,17:50,1,3,0,0,3,1.0,1,1,36.0,0.11313708498984519,Normal,12.23475004893086
0x5249,SURRES07DEL02,32,4.8,21.170798,72.790489,21.250798,72.870489,20:20,4,1,2,0,4,1.0,1,1,15.0,0.11313708498985524,Fast,12.16161548161981
0x3158,COIMBRES17DEL02,24,4.1,11.026117,76.944652,11.046117,76.964652,10:25,3,2,0,2,3,1.0,1,1,16.0,0.028284271247460042,Fast,3.116121839413475
0x84fe,COIMBRES010DEL02,20,4.8,11.003008,76.97544,11.083009,77.05544,22:35,0,2,2,2,4,1.0,1,1,27.0,0.11313779209883805,Normal,12.464422665211348
0xa4af,CHENRES19DEL01,27,4.0,12.986047,80.218114,13.026047,80.258114,13:40,6,0,0,1,3,1.0,1,1,33.0,0.056568542494928875,Normal,6.209976450705328
0x26ae,PUNERES20DEL02,23,4.8,18.592718,73.773572,18.672718,73.853572,21:55,2,1,2,2,2,1.0,1,3,21.0,0.11313708498984519,Normal,12.25501434480783
0x2b8f,MYSRES14DEL03,20,4.8,0.0,0.0,0.03,0.03,18:25,4,3,0,0,3,1.0,1,1,21.0,0.042426406871192854,Normal,4.717601092054723
0x7a12,SURRES02DEL01,32,4.0,21.186608,72.794136,21.226608,72.834136,15:55,2,3,1,3,3,2.0,1,1,32.0,0.05656854249492762,Normal,6.080888252609821
0x37da,PUNERES18DEL02,28,4.9,18.593481,73.785901,18.723481,73.915901,17:30,3,3,2,3,4,1.0,1,3,29.0,0.1838477631085085,Normal,19.91296718928853
0x97ca,PUNERES010DEL03,25,4.2,18.539299,73.897902,18.629299,73.987902,20:50,2,1,0,2,3,1.0,1,1,35.0,0.12727922061358088,Normal,13.788747286078188
0x2924,COIMBRES11DEL03,31,3.4,11.001753,76.986241,11.091753,77.076241,23:50,4,2,0,2,3,1.0,1,3,31.0,0.12727922061357083,Normal,14.022298282479131
0x6ecf,RANCHIRES010DEL03,20,5.0,23.354422,85.3329,23.444422,85.4229,22:05,1,1,1,1,4,1.0,1,1,41.0,0.12727922061358088,Slow,13.583302501334014
0x7a6a,COIMBRES13DEL02,38,4.7,11.003669,76.976494,11.053669,77.026494,18:10,4,3,0,0,3,1.0,1,1,21.0,0.07071067811865199,Normal,7.790401360105752
0x628c,BANGRES15DEL02,31,4.8,12.975377,77.696664,13.025377,77.746664,22:25,2,2,1,3,4,0.0,1,1,24.0,0.07071067811865325,Normal,7.762556904358442
0x52e2,JAPRES07DEL02,36,4.8,26.766536,75.837333,26.896536,75.967333,18:20,2,3,0,0,3,1.0,1,1,36.0,0.18384776310850096,Normal,19.37374583495492
0xa200,SURRES07DEL01,30,4.7,21.170798,72.790489,21.280798,72.900489,22:30,6,2,0,1,3,1.0,1,1,24.0,0.15556349186103965,Normal,16.72143013885536
0xded5,ALHRES11DEL02,32,4.9,0.0,0.0,0.08,0.08,17:60,0,3,0,2,3,3.0,2,3,48.0,0.1131370849898476,Slow,12.58026782240096
0x2997,MUMRES20DEL02,24,4.1,19.103249,72.846749,19.233249,72.976749,20:50,0,1,2,0,2,1.0,1,1,39.0,0.18384776310849843,Normal,19.88431857497891
0x7008,COIMBRES15DEL01,28,4.8,11.006686,76.951736,11.016686,76.961736,9:50,6,2,1,3,4,1.0,1,1,18.0,0.014142135623734417,Fast,1.5581244322254744
0xc72d,AURGRES01DEL01,26,4.6,19.876219,75.346017,19.886219,75.356017,11:35,1,0,1,0,3,0.0,1,1,22.0,0.014142135623725625,Normal,1.5263914730559738
0xc3ed,ALHRES12DEL02,23,4.7,25.443994,81.860187,25.573994,81.990187,21:45,1,1,1,0,3,1.0,1,1,33.0,0.1838477631085085,Normal,19.472033277853686
0x88c1,SURRES04DEL03,28,4.8,21.173493,72.801953,21.263493,72.891953,20:05,3,1,1,0,4,0.0,1,1,19.0,0.12727922061358088,Fast,13.68148555689137
0x6d6c,BANGRES15DEL02,35,4.8,12.975377,77.696664,13.025377,77.746664,24:10,0,2,2,0,3,1.0,1,1,18.0,0.07071067811865325,Fast,7.762556904358442
0x7421,CHENRES01DEL02,30,5.0,13.005801,80.250744,13.055801,80.300744,21:35,6,1,2,3,3,1.0,1,1,25.0,0.07071067811865325,Normal,7.762092914972186
0x69ed,HYDRES06DEL01,34,5.0,17.455894,78.375467,17.465894,78.385467,11:40,2,0,0,3,3,1.0,1,1,33.0,0.014142135623733162,Normal,1.5367312329664098
0x78c2,JAPRES010DEL03,27,4.4,26.921411,75.793604,27.061411,75.933604,17:45,0,3,1,3,4,1.0,1,1,32.0,0.1979898987322341,Normal,20.85094842431187
0x6eaa,PUNERES05DEL03,29,4.6,18.543626,73.905101,18.603626,73.965101,20:50,6,1,1,3,3,1.0,1,1,20.0,0.0848528137423864,Fast,9.192770952683546
0x18b9,RANCHIRES19DEL03,0,4.630110732538331,23.333017,85.3172,23.393017,85.3772,24:10,7,5,2,2,3,1.0,1,3,12.0,0.0848528137423864,Fast,9.056672984546829
0xcf84,KNPRES14DEL02,37,4.6,26.463504,80.372929,26.513504,80.422929,19:35,4,1,0,0,3,1.0,1,1,24.0,0.07071067811865325,Normal,7.461394236453525
0xb4e6,SURRES14DEL01,36,5.0,21.157729,72.768726,21.267729,72.878726,21:35,1,1,2,1,3,1.0,1,1,44.0,0.15556349186103965,Slow,16.72211869180285
0x4e85,MYSRES16DEL03,31,4.4,12.316967,76.603067,12.406967,76.693067,18:25,0,3,1,3,4,1.0,2,1,44.0,0.12727922061358088,Slow,13.989695713800396
0x1255,VADRES05DEL01,30,4.8,22.310526,73.170937,22.380526,73.240937,24:15,3,2,0,1,3,1.0,1,1,20.0,0.09899494936612209,Fast,10.602497166339631
0x7740,VADRES03DEL01,24,4.3,22.32,73.17,22.39,73.24,19:25,1,1,1,3,3,1.0,1,1,34.0,0.09899494936611203,Normal,10.60216485230212
0xb1b7,INDORES03DEL03,39,4.6,22.751857,75.866699,22.781857,75.896699,23:05,0,2,2,0,4,1.0,1,1,16.0,0.042426406871191945,Fast,4.53754359959467
0x5501,RANCHIRES14DEL03,25,4.9,0.0,0.0,0.06,0.06,22:15,2,1,0,0,3,1.0,1,3,25.0,0.08485281374238571,Normal,9.435201537430713
0x2163,MYSRES15DEL01,37,4.3,12.352058,76.60665,12.392058,76.64665,13:45,1,0,1,1,4,0.0,1,3,36.0,0.05656854249491883,Normal,6.217525604924386
0x725b,INDORES03DEL02,31,5.0,22.751857,75.866699,22.831857,75.946699,18:20,2,3,0,3,3,1.0,1,1,32.0,0.11313708498984519,Normal,12.099096916817196
0x538f,RANCHIRES01DEL01,22,4.8,23.416792,85.316842,23.486792,85.386842,19:35,3,1,1,1,4,1.0,1,1,28.0,0.09899494936612209,Normal,10.562878909252845
0x9a3,VADRES12DEL03,22,4.9,0.0,0.0,0.06,0.06,19:55,2,1,2,0,2,1.0,1,3,22.0,0.08485281374238571,Normal,9.435201537430713
0xabad,BANGRES06DEL01,34,3.5,12.979096,77.640625,13.089096,77.750625,17:20,2,3,1,2,4,1.0,1,1,38.0,0.15556349186103965,Normal,17.076492495612452
0xd326,KOLRES16DEL02,27,4.9,22.539129,88.365507,22.619129,88.445507,17:25,1,3,1,3,4,0.0,1,1,26.0,0.11313708498985775,Normal,12.107734496942113
0xe120,KOCRES12DEL01,34,4.1,9.988483,76.295211,10.098483,76.405211,20:25,1,1,2,0,2,0.0,1,1,48.0,0.15556349186103965,Slow,17.165842266656078
0xb900,RANCHIRES16DEL03,24,4.6,23.371292,85.327872,23.401292,85.357872,22:45,4,2,0,3,3,1.0,1,1,19.0,0.04242640687119446,Fast,4.527973054243058
0x1874,CHENRES03DEL02,29,4.6,13.091809,80.219104,13.111809,80.239104,12:05,6,0,0,1,3,1.0,1,1,22.0,0.028284271247458786,Normal,3.104402431477901
0xdde9,LUDHRES11DEL03,25,4.9,30.893081,75.821495,31.033081,75.961495,18:20,1,3,1,2,3,1.0,1,1,31.0,0.1979898987322341,Normal,20.506934775865457
0x26e0,PUNERES06DEL02,36,4.4,18.546258,73.904337,18.626258,73.984337,21:40,2,1,0,0,3,1.0,1,3,51.0,0.11313708498984519,Slow,12.25659774869038
0x6ef3,RANCHIRES14DEL01,24,4.5,0.0,0.0,0.11,0.11,19:05,0,3,2,2,3,1.0,1,3,30.0,0.15556349186104046,Normal,17.29786575291325
0x26b0,SURRES12DEL01,33,4.7,21.183434,72.814492,21.193434,72.824492,10:45,3,2,1,2,4,1.0,1,4,24.0,0.014142135623735673,Normal,1.520309052937885
0xcc1,HYDRES04DEL01,22,4.8,17.411028,78.329645,17.421028,78.339645,11:15,1,0,1,0,3,0.0,1,1,22.0,0.014142135623733162,Normal,1.5369113551350593
0xae17,BANGRES08DEL03,20,4.9,12.906229,77.596791,12.936229,77.626791,21:05,3,1,0,0,3,0.0,1,1,19.0,0.04242640687119446,Fast,4.65825552423237
0x478d,JAPRES20DEL01,37,4.3,26.956431,75.776649,27.026431,75.846649,22:40,1,2,0,2,3,2.0,1,1,43.0,0.09899494936611203,Slow,10.425475100056353
0x7b21,COIMBRES01DEL03,22,4.7,11.016298,76.972076,11.046298,77.002076,17:40,0,3,1,3,4,1.0,1,1,12.0,0.0424264068711932,Fast,4.674220356187266
0xd554,LUDHRES06DEL02,25,4.5,30.895204,75.822103,31.025204,75.952103,21:50,3,1,1,1,4,0.0,1,1,19.0,0.18384776310849843,Fast,19.042397449611613
0xdebb,AGRRES010DEL01,38,4.7,27.163303,78.057044,27.233303,78.127044,22:50,6,2,1,0,3,1.0,1,3,28.0,0.09899494936611203,Normal,10.416963824321584
0xae1f,INDORES16DEL02,29,4.2,22.744648,75.894377,22.764648,75.914377,10:25,6,2,0,0,3,1.0,1,1,21.0,0.028284271247458786,Normal,3.0251533668867396
0x46fa,CHENRES16DEL02,20,4.9,13.049645,80.242268,13.099645,80.292268,21:45,1,1,2,0,3,0.0,1,3,21.0,0.0707106781186633,Normal,7.7614224372753755
0x8183,PUNERES05DEL03,21,4.7,18.543626,73.905101,18.573626,73.935101,20:25,4,1,2,1,4,0.0,1,1,13.0,0.04242640687119446,Fast,4.596576884051942
0x3b4f,MYSRES02DEL01,27,4.7,12.304569,76.643622,12.314569,76.653622,8:45,1,2,2,1,2,1.0,1,1,14.0,0.014142135623734417,Fast,1.5545625412407003
0x9833,MYSRES09DEL01,35,4.8,12.323194,76.630583,12.393194,76.700583,23:50,6,2,0,1,3,1.0,1,1,28.0,0.09899494936611078,Normal,10.880951367269885
0x8ea7,CHENRES09DEL03,35,4.9,13.044694,80.26147,13.104694,80.32147,23:25,4,2,1,3,3,0.0,1,3,18.0,0.08485281374238766,Fast,9.313705947300656
0x20ef,BANGRES20DEL01,23,5.0,12.972161,77.596014,13.082161,77.706014,17:60,3,3,2,0,4,1.0,1,1,26.0,0.15556349186103965,Normal,17.076725433736602
0xc88e,KOCRES010DEL01,30,4.8,10.035573,76.336958,10.145573,76.446958,22:45,4,2,1,1,3,1.0,1,3,28.0,0.1555634918610409,Normal,17.164609401577533
0xd358,AURGRES05DEL03,28,4.6,19.875522,75.367127,19.935522,75.427127,21:50,1,1,2,2,4,1.0,1,3,28.0,0.0848528137423864,Normal,9.157688902749936
